URL	Type d'acteur	Santé	Présence dans les archives du web du 31 janvier 2020 au 31 juillet 2020	Présence dans les archives du web en 2021	Crawl lancé ou pas dans les archives du web 2020	Crawl lancé ou pas dans les archives du web 2021	Crawl lancé ou pas sur le web vivant 2022	Notes
https://www.academie-sciences.fr/fr/rapports-ouvrages-avis-et-recommandations-de-l-academie/covid-19-les-medicaments.html	Institutionnel	Science, Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.academie-sciences.fr/fr/rapports-ouvrages-avis-et-recommandations-de-l-academie/covid-19-maladie-virus-traitement.html	Institutionnel	Science, Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.academie-sciences.fr/fr/seances-publiques/covid-19-seance-exceptionnelle.html	Institutionnel	Science, Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.anrs.fr/fr/ressources/revue-de-litterature-covid-19	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.ccne-ethique.fr/recherche?search_api_views_fulltext=covid-19	Institutionnel	Science, Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.cea.fr/pages/actualites/sante-sciences-du-vivant/cea-contre-epidemie-covid19.aspx	Institutionnel	Science	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.college-de-france.fr/site/actualites/covid-19chroniqueemergenceannoncee.htm	Institutionnel		FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.epicov.fr	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.espgg.org/confine-ta-science	Institutionnel	Science	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.hs3pe-crises.fr/revue-de-presse/	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.hs3pe-crises.fr/wp-content/uploads/2020/12/les-sciences-humaines-et-sociales-face-a-la-premiere-vague-de-la-pandemie-de-covid-19-enjeux-et-formes-de-la-recherche-2-12-2020.pdf	Institutionnel	Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.hs3pe-crises.fr/actualites/cnrs/les-sciences-humaines-et-sociales-face-a-la-premiere-vague-de-la-pandemie-de-covid-19-enjeux-et-formes-de-la-recherche/	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.inist.fr/nos-actualites/covid-19-lappel-science-ouverte-aux-editeurs-scientifiques/	Institutionnel	Science	TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.insb.cnrs.fr	Institutionnel	Science, Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.insb.cnrs.fr/fr/news-list	Institutionnel	Science, Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.insb.cnrs.fr/fr/news-list-filtered?thematique_id=68	Institutionnel	Science, Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.insb.cnrs.fr/fr/cnrsinfo/covid-19-et-effets-sur-le-quotidien-participez-lenquete	Institutionnel		FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.inshs.cnrs.fr/fr/crises-sanitaires-et-environnementales-humanites-sciences-sociales-sante-publique	Institutionnel		TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.inshs.cnrs.fr/fr/evenement/rencontre-scientifique-les-effets-de-la-pandemie-de-covid-19-documenter-decrire-analyser	Institutionnel		FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.inshs.cnrs.fr/sites/institut_inshs/files/download-file/les%20effets%20de%20la%20pande%cc%81mie%20de%20covid-19%20documenter,%20de%cc%81crire,%20analyser%20-%20colloque%20-%2029%20et%2030%20juin%202021_2.pdf	Institutionnel		FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.ouvrirlascience.fr/?s=covid-19	Institutionnel	Science	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.ouvrirlascience.fr/wp-content/uploads/2020/04/covid-19-et-communication-scientifique_blog-lse_5mars2020-fr.pdf	Institutionnel	Science	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.pasteur.fr/fr/actualites-covid-19	Institutionnel	Science	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.pasteur.fr/fr/journal-recherche/evenements/conference-internationale-covid-19-advances-and-remaining-challenges	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.pasteur.fr/fr/espace-presse/documents-presse/covid-19-decouverte-signature-moleculaire-myocardites-pediatriques	Institutionnel	Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.pasteur.fr/fr/espace-presse/documents-presse/virus-proches-du-sars-cov-2-capables-infecter-cellules-humaines-decouverts-chauves-souris-au-nord-du	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.pasteur.fr/fr/espace-presse/documents-presse/sars-cov-2-deteriore-cellules-ciliees-inhibe-mecanisme-clairance-mucociliee-voies-respiratoires	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
https://www.pasteur.fr/fr/espace-presse/documents-presse/inhibiteurs-checkpoints-immunitaires-ameliorent-immunite-cellulaire-contre-sars-cov-2	Institutionnel	Santé	FALSE	TRUE	Crawlé	Crawlé	Crawlé	
